ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default payment next month;LIM_BAL_1;LIM_BAL_2;LIM_BAL_3;SEX_1;SEX_2;EDUCATION_1;EDUCATION_2;EDUCATION_3;EDUCATION_4;EDUCATION_5;EDUCATION_6;EDUCATION_7;MARRIAGE_1;MARRIAGE_2;MARRIAGE_3;MARRIAGE_4;AGE_1;AGE_2;AGE_3;PAY_0_1;PAY_0_2;PAY_0_3;PAY_2_1;PAY_2_2;PAY_2_3;PAY_3_1;PAY_3_2;PAY_3_3;PAY_4_1;PAY_4_2;PAY_4_3;PAY_5_1;PAY_5_2;PAY_5_3;PAY_6_1;PAY_6_2;PAY_6_3;BILL_AMT1_1;BILL_AMT1_2;BILL_AMT1_3;BILL_AMT2_1;BILL_AMT2_2;BILL_AMT2_3;BILL_AMT3_1;BILL_AMT3_2;BILL_AMT3_3;BILL_AMT4_1;BILL_AMT4_2;BILL_AMT4_3;BILL_AMT5_1;BILL_AMT5_2;BILL_AMT5_3;BILL_AMT6_1;BILL_AMT6_2;BILL_AMT6_3;PAY_AMT1_1;PAY_AMT1_2;PAY_AMT1_3;PAY_AMT2_1;PAY_AMT2_2;PAY_AMT2_3;PAY_AMT3_1;PAY_AMT3_2;PAY_AMT3_3;PAY_AMT4_1;PAY_AMT4_2;PAY_AMT4_3;PAY_AMT5_1;PAY_AMT5_2;PAY_AMT5_3;PAY_AMT6_1;PAY_AMT6_2;PAY_AMT6_3
94;160000;2;2;1;37;-1;-1;-1;-1;-1;-2;880;1602;840;840;0;0;1602;840;840;0;0;7736;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1
95;60000;2;2;2;23;0;0;0;0;0;0;45648;46850;47214;19595;19209;19323;1937;1301;682;690;816;835;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
98;150000;1;1;2;27;0;0;0;0;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0
109;130000;1;2;2;38;0;0;0;-1;-1;-1;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1
115;50000;1;2;2;41;0;0;0;0;0;0;19015;19294;20259;20274;20311;19957;1340;1305;700;718;724;684;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
119;400000;1;2;1;34;-1;-1;-1;-1;-1;-1;19660;9666;11867;7839;14837;7959;9677;11867;7839;14837;7959;5712;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
126;20000;1;2;2;23;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
136;240000;1;2;1;34;0;0;0;2;2;2;10674;12035;13681;13269;14158;13891;1500;1800;0;1000;0;327;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0
138;210000;2;2;1;33;0;0;0;0;0;0;7166;7997;8792;9189;4404;5708;1500;1500;1000;500;2000;546;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0
143;50000;1;2;2;23;1;2;2;2;0;0;10131;10833;20583;19996;19879;18065;1000;10000;400;700;800;600;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0
148;200000;1;1;2;34;1;2;0;0;0;0;197236;176192;93069;135668;132233;59875;8000;5000;55500;5000;5000;8500;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
153;350000;1;1;2;41;1;-1;-1;-1;-1;-2;208;2906;1000;630;0;0;2906;1000;630;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
180;80000;2;2;1;29;0;0;2;0;0;0;77883;81811;80250;61467;10662;11486;5800;1000;600;400;1000;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0
182;80000;2;3;2;35;0;-1;0;0;0;0;49608;12412;14873;17364;17770;17460;12500;6500;3000;2000;3000;2000;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0
187;360000;2;1;2;32;1;-1;-1;-1;-1;-1;2616;57077;5287;68445;13881;16240;57087;5295;68454;13889;16250;38313;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
198;20000;2;1;2;22;0;0;0;0;-1;0;18553;19446;19065;8332;18868;19247;1500;1032;541;20000;693;1000;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0
199;500000;2;1;1;34;-2;-2;-2;-1;-1;-1;412;138;2299;1251;1206;1151;138;2299;1251;1206;1151;15816;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1
203;140000;2;1;2;26;-1;0;-1;-1;-1;-1;13424;18000;13001;5818;13506;487;10000;13001;5841;13506;487;7004;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1
205;360000;2;2;1;48;0;0;0;0;0;0;226430;231878;234192;190211;173557;146511;9100;7300;5800;5600;5600;4100;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
211;220000;1;1;2;24;0;0;0;-1;-1;-1;105607;108917;111520;8303;0;85632;5000;5050;8303;0;85632;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0
215;470000;1;2;2;27;2;2;2;2;0;0;296573;303320;307843;479978;305145;309959;13000;11001;0;10484;10838;10367;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1
216;30000;1;3;1;42;-1;-1;-1;-1;-1;2;390;390;390;240;1320;780;390;390;240;1470;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0
220;310000;2;1;2;38;-1;-1;-1;-1;-2;-2;1424;4542;126;0;0;0;4542;126;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
236;80000;1;1;2;35;-1;-1;-1;-1;-1;-1;7988;3977;6848;1719;1378;19942;3983;6853;1719;1378;19942;2418;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0
237;150000;2;2;2;27;0;0;0;0;0;0;127402;110050;51547;44384;36900;29497;4500;1745;1566;1208;1077;2529;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
238;210000;2;1;2;31;-2;-2;-2;-2;-1;-1;1440;0;7422;893;6082;2293;0;7422;893;6082;2293;3299;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1
242;50000;1;1;2;39;0;0;0;0;0;0;47174;47974;48630;50803;30789;15874;1800;2000;3000;2000;2000;2000;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0
246;20000;2;2;2;40;0;0;0;0;0;-2;19816;20396;20102;19575;0;0;1601;2203;2114;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0
266;150000;2;2;1;25;-1;-1;-2;-1;-1;-1;6156;0;0;316;316;316;0;0;316;316;316;316;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
267;10000;1;3;2;23;0;0;0;0;0;2;6974;7838;9002;9182;9729;9411;1134;1298;478;847;0;175;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
272;120000;1;1;1;34;-1;2;-1;0;0;0;1082;632;1350;900;450;0;0;1350;0;0;0;450;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
285;230000;2;3;1;32;0;0;0;0;0;0;195126;88743;92195;94814;98182;98457;5000;5000;5000;5000;4000;5000;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
287;210000;1;1;2;38;2;0;0;0;0;0;60502;62804;62769;62683;63663;46549;3276;2026;2000;2000;2000;2502;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
290;240000;2;2;1;46;0;0;0;0;0;0;8751;9900;10605;10765;11765;4311;1295;1000;1000;1000;1000;1000;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0
298;210000;2;2;1;36;0;0;0;0;0;0;143225;142996;144415;148190;147993;131629;6483;5082;6000;5900;4544;4700;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
299;280000;2;1;1;36;0;0;0;0;0;0;58983;60788;63225;29701;30172;30771;2755;3463;1300;1100;1100;2000;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0
317;110000;2;2;2;36;0;0;0;0;0;0;47819;48947;50330;50894;52175;53652;2200;2500;2000;2100;2500;2200;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
318;260000;2;3;1;53;1;-1;-1;-2;-2;-1;0;165;526;452;397;485;165;526;452;397;485;459;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
329;340000;1;2;1;55;-2;-1;-1;-2;-2;-2;50396;44665;8300;2190;24599;7416;44665;8321;2190;24599;7416;77195;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1
334;400000;2;2;1;43;1;-2;-2;-2;-1;-1;0;0;0;0;1600;78388;0;0;0;1600;78388;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0
340;120000;2;1;2;34;-1;-1;0;-1;-1;-1;882;6531;6313;1100;1330;830;6900;5037;1100;1330;3800;2037;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0
343;200000;2;1;2;29;-1;2;-1;-1;-1;2;2393;183;4847;20183;24815;24248;0;4872;20183;5000;0;1000;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0
349;140000;2;2;2;31;0;0;0;0;0;0;138119;137950;140254;139679;141748;142174;6600;6500;5100;5300;6000;5000;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
351;90000;1;1;2;26;0;0;-1;0;0;-1;39128;20473;1940;1940;0;23101;1541;4200;0;0;23101;3000;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1
352;200000;1;1;1;36;1;-2;-1;-1;-2;-1;-14386;-13543;3432;-3684;0;1386;10118;47015;0;4000;100000;10000;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1
359;110000;2;4;2;24;0;0;0;0;0;0;83755;77431;79044;80631;82333;84462;3000;2900;2900;3000;3500;4000;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1
366;330000;2;2;1;56;1;-1;-1;-2;-1;-1;-9;1520;1488;0;3965;8676;1529;1507;0;3965;8676;384;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0
373;90000;2;1;2;34;0;0;0;2;2;2;34302;35089;43449;42451;49718;48767;1640;9000;0;8000;0;2000;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0
